what day comes after Monday	Tuesday
what day comes after Friday	Saturday
what day comes after Sunday	Monday
what day comes before Sunday	Saturday
what comes after Thursday	Friday
what month comes after June	July
what month comes after December	January
2 days after Monday	Monday to Tuesday to Wednesday, = Wednesday
3 days after Friday	Friday to Saturday to Sunday to Monday, = Monday
2 days before Wednesday	Wednesday to Tuesday to Monday, = Monday
3 days after Sunday	Sunday to Monday to Tuesday to Wednesday, = Wednesday
2 months after March	March to April to May, = May
