what happens if you drop a glass	it breaks
what happens if you touch fire	you get burned
what happens if it rains	you get wet
what happens if you don't sleep	you get tired
what happens if you don't eat	you get hungry
what happens if you heat ice	it melts
what happens if you plant a seed	it grows
what happens if you drop a ball	it falls
what happens if you turn off the light	it gets dark
what happens if you run fast	you get out of breath
what happens if you water a plant	it grows
what happens if you leave milk out	it goes bad
