my name is Sam, what is my name?	Sam
i'm Priya, what is my name?	Priya
call me Bob, what should you call me?	Bob
my name is Zoe. what's my name?	Zoe
i am Alex, who am i?	Alex
hi, my name is Mia. what is my name?	Mia
the name's Tom. remind me, my name?	Tom
my name is Lena and i like tea. what is my name?	Lena
you can call me Raj. what's my name?	Raj
i'm Nina, nice to meet you. what is my name?	Nina
my name is Omar, what is my name?	Omar
i'm called Ivy. what should you call me?	Ivy
my name is Leo. say my name.	Leo
remember, i'm Ada. what is my name?	Ada
my name is Kai and i am nine. what is my name?	Kai
hey it's Sara here. what's my name?	Sara
i go by Max. what is my name?	Max
my name is Ella, do you remember my name?	Ella
i'm Ben, what do you call me?	Ben
my name is Ruth. what is my name?	Ruth
call me Finn from now on. what's my name?	Finn
my name is Iris, my dog is Rex. what is my name?	Iris
i am Jude. who am i?	Jude
my name is Cora. what is my name?	Cora
