the next after first is	second
what comes after dusk	midnight
the next after midday is	dusk
the next after dawn is	midday
the next after monday is	tuesday
after june comes	july
after monday comes	tuesday
what comes after noon	afternoon
the next after spring is	summer
what comes after friday	saturday
after fourth comes	fifth
the next after autumn is	winter
after noon comes	afternoon
what comes after fifth	sixth
what comes after first	second
what comes after january	february
what comes after midday	dusk
the next after wednesday is	thursday
the next after afternoon is	evening
after july comes	august
after afternoon comes	evening
after second comes	third
after dawn comes	midday
the next after february is	march
what comes after wednesday	thursday
after thursday comes	friday
after dusk comes	midnight
after spring comes	summer
the next after august is	september
after midday comes	dusk
after morning comes	noon
after saturday comes	sunday
what comes after second	third
the next after fifth is	sixth
what comes after autumn	winter
the next after thursday is	friday
what comes after saturday	sunday
what comes after dawn	midday
the next after seventh is	eighth
the next after summer is	autumn
after autumn comes	winter
what comes after fourth	fifth
what comes after spring	summer
what comes after tuesday	wednesday
after october comes	november
the next after sixth is	seventh
after summer comes	autumn
what comes after thursday	friday
what comes after afternoon	evening
after tuesday comes	wednesday
after april comes	may
after fifth comes	sixth
after sixth comes	seventh
what comes after august	september
the next after saturday is	sunday
what comes after september	october
after third comes	fourth
what comes after march	april
what comes after february	march
what comes after monday	tuesday
what comes after summer	autumn
the next after noon is	afternoon
after seventh comes	eighth
what comes after seventh	eighth
the next after morning is	noon
the next after friday is	saturday
the next after january is	february
the next after dusk is	midnight
what comes after november	december
after august comes	september
the next after tuesday is	wednesday
what comes after july	august
after wednesday comes	thursday
after september comes	october
the next after fourth is	fifth
the next after march is	april
the next after november is	december
what comes after third	fourth
the next after october is	november
after november comes	december
after first comes	second
the next after second is	third
the next after may is	june
after may comes	june
after march comes	april
the next after june is	july
what comes after sixth	seventh
what comes after morning	noon
after friday comes	saturday
after february comes	march
the next after april is	may
the next after third is	fourth
what comes after october	november
what comes after may	june
the next after september is	october
after january comes	february
what comes after june	july
