count the letters in apple	a p p l e, that is 5 letters
count the letters in dog	d o g, that is 3 letters
count the letters in banana	b a n a n a, that is 6 letters
count the letters in sun	s u n, that is 3 letters
count the letters in hello	h e l l o, that is 5 letters
count the letters in yellow	y e l l o w, that is 6 letters
how many vowels in orange	o a e, that is 3 vowels
how many vowels in tree	e e, that is 2 vowels
how many vowels in apple	a e, that is 2 vowels
how many vowels in banana	a a a, that is 3 vowels
3 apples cost 6 coins, how much is one apple	6 / 3 = 2, one apple is 2 coins
2 pens cost 10 coins, how much is one pen	10 / 2 = 5, one pen is 5 coins
4 cakes cost 12 coins, how much is one cake	12 / 4 = 3, one cake is 3 coins
5 toys cost 20 coins, how much is one toy	20 / 5 = 4, one toy is 4 coins
6 eggs cost 12 coins, how much is one egg	12 / 6 = 2, one egg is 2 coins
if one box holds 6 items, how many in 3 boxes	6 x 3 = 18, three boxes hold 18
if one bag holds 4 apples, how many in 5 bags	4 x 5 = 20, five bags hold 20
one car has 4 wheels, how many wheels on 3 cars	4 x 3 = 12, three cars have 12 wheels
10 sweets shared by 2 kids, each gets	10 / 2 = 5, each gets 5
12 sweets shared by 3 kids, each gets	12 / 3 = 4, each gets 4
